gene,biotype
puuA,protein_coding
puuD,protein_coding
puuR,protein_coding
puuC,protein_coding
puuB,protein_coding
puuE,protein_coding
pspF,protein_coding
pspA,protein_coding
pspB,protein_coding
pspC,protein_coding
pspD,protein_coding
pspE,protein_coding
ycjM,protein_coding
ycjN,protein_coding
ycjO,protein_coding
ycjP,protein_coding
ycjQ,protein_coding
ycjR,protein_coding
ycjS,protein_coding
ycjT,protein_coding
ycjU,protein_coding
ycjV,pseudogene
ymjB,pseudogene
ompG,protein_coding
ycjW,protein_coding
ycjX,protein_coding
ycjF,protein_coding
tyrR,protein_coding
tpx,protein_coding
ycjG,protein_coding
mpaA,protein_coding
ymjC,protein_coding
ymjD,protein_coding
ycjY,protein_coding
pgrR,protein_coding
mppA,protein_coding
ynaI,protein_coding
insH4,protein_coding
ynaJ,protein_coding
uspE,protein_coding
fnr,protein_coding
ogt,protein_coding
abgT,protein_coding
abgB,protein_coding
abgA,protein_coding
abgR,protein_coding
mcaS,ncRNA
smrA,protein_coding
dgcM,protein_coding
ynaN,protein_coding
zntB,protein_coding
fnrS,ncRNA
ynaL,protein_coding
dbpA,protein_coding
ttcA,protein_coding
intR,protein_coding
xisR,protein_coding
rcbA,protein_coding
ralA,ncRNA
ralR,protein_coding
recT,protein_coding
recE,protein_coding
racC,protein_coding
ydaE,protein_coding
kilR,protein_coding
sieB,protein_coding
ydaF,protein_coding
ydaG,protein_coding
racR,protein_coding
ydaS,protein_coding
ydaT,protein_coding
ydaU,protein_coding
ydaV,protein_coding
ydaW,protein_coding
rzpR,pseudogene
rzoR,protein_coding
trkG,protein_coding
ynaK,protein_coding
ydaY,protein_coding
ynaA,protein_coding
lomR,pseudogene
insH5,protein_coding
stfR,protein_coding
tfaR,protein_coding
pinR,protein_coding
ynaE,protein_coding
ynaM,protein_coding
ttcC,pseudogene
uspF,protein_coding
ompN,protein_coding
micC,ncRNA
ydbK,protein_coding
ydbJ,protein_coding
hslJ,protein_coding
ldhA,protein_coding
ydbH,protein_coding
ynbE,protein_coding
ydbL,protein_coding
feaR,protein_coding
feaB,protein_coding
tynA,protein_coding
paaZ,protein_coding
paaA,protein_coding
paaB,protein_coding
paaC,protein_coding
paaD,protein_coding
paaE,protein_coding
paaF,protein_coding
paaG,protein_coding
paaH,protein_coding
paaI,protein_coding
paaJ,protein_coding
paaK,protein_coding
paaX,protein_coding
paaY,protein_coding
ynbG,protein_coding
ydbA,pseudogene
insD2,protein_coding
insC2,protein_coding
pdxI,protein_coding
ydbD,protein_coding
ynbA,protein_coding
ynbB,protein_coding
ynbC,protein_coding
ynbD,protein_coding
azoR,protein_coding
hrpA,protein_coding
ydcF,protein_coding
aldA,protein_coding
gapC,pseudogene
cybB,protein_coding
rydC,ncRNA
ydcA,protein_coding
yncP,protein_coding
hokB,protein_coding
mokB,protein_coding
sokB,ncRNA
trg,protein_coding
ydcI,protein_coding
ydcJ,protein_coding
opgD,protein_coding
ydcH,protein_coding
rimL,protein_coding
ydcK,protein_coding
tehA,protein_coding
tehB,protein_coding
ydcL,protein_coding
yncK,pseudogene
insQ,protein_coding
ydcO,protein_coding
sutR,protein_coding
rlhA,protein_coding
yncJ,protein_coding
hicA,protein_coding
hicB,protein_coding
ydcR,protein_coding
ydcS,protein_coding
ydcT,protein_coding
ydcU,protein_coding
ydcV,protein_coding
patD,protein_coding
yncL,protein_coding
ortT,protein_coding
ydcY,protein_coding
ydcZ,protein_coding
mnaT,protein_coding
curA,protein_coding
mcbR,protein_coding
yncD,protein_coding
yncE,protein_coding
ansP,protein_coding
yncG,protein_coding
yncH,protein_coding
rhsE,pseudogene
ydcD,protein_coding
yncO,protein_coding
yncI,pseudogene
ydcC,protein_coding
pptA,protein_coding
yddH,protein_coding
nhoA,protein_coding
yddE,protein_coding
narV,protein_coding
narW,protein_coding
narY,protein_coding
narZ,protein_coding
narU,protein_coding
yddJ,pseudogene
yddK,protein_coding
yddL,protein_coding
yddG,protein_coding
fdnG,protein_coding
fdnH,protein_coding
fdnI,protein_coding
yddM,protein_coding
adhP,protein_coding
maeA,protein_coding
sra,protein_coding
bdm,protein_coding
osmC,protein_coding
ddpF,protein_coding
ddpD,protein_coding
ddpC,protein_coding
ddpB,protein_coding
ddpA,protein_coding
ddpX,protein_coding
dosP,protein_coding
dosC,protein_coding
yddY,protein_coding
digH,protein_coding
gadC,protein_coding
gadB,protein_coding
pqqL,protein_coding
yddB,protein_coding
yddA,protein_coding
yneP,protein_coding
ydeM,protein_coding
ydeN,protein_coding
ydeO,protein_coding
safA,protein_coding
ydeP,protein_coding
ydeQ,protein_coding
ydeR,protein_coding
ydeS,protein_coding
ydeT,protein_coding
yneL,pseudogene
hipA,protein_coding
hipB,protein_coding
yneO,pseudogene
lsrK,protein_coding
lsrR,protein_coding
lsrA,protein_coding
lsrC,protein_coding
lsrD,protein_coding
lsrB,protein_coding
lsrF,protein_coding
lsrG,protein_coding
tam,protein_coding
yneE,protein_coding
uxaB,protein_coding
dgcF,protein_coding
yneG,protein_coding
glsB,protein_coding
sad,protein_coding
yneJ,protein_coding
yneK,protein_coding
ydeA,protein_coding
marC,protein_coding
marR,protein_coding
marA,protein_coding
marB,protein_coding
eamA,protein_coding
ydeE,protein_coding
mgtS,protein_coding
mgtT,protein_coding
mgrR,ncRNA
dgcZ,protein_coding
ydeI,protein_coding
ydeJ,protein_coding
dcp,protein_coding
ydfG,protein_coding
ydfH,protein_coding
ydfZ,protein_coding
ydfI,protein_coding
ydfJ,protein_coding
ynfT,protein_coding
ydfK,protein_coding
pinQ,protein_coding
tfaQ,protein_coding
stfQ,protein_coding
nohA,protein_coding
ynfO,protein_coding
ydfO,protein_coding
gnsB,protein_coding
ynfN,protein_coding
ynfR,protein_coding
ynfQ,protein_coding
cspI,protein_coding
rzpQ,protein_coding
rzoQ,protein_coding
rrrQ,protein_coding
ydfR,protein_coding
essQ,protein_coding
ynfU,protein_coding
cspB,protein_coding
cspF,protein_coding
ynfS,protein_coding
ydfT,protein_coding
ydfU,protein_coding
rem,protein_coding
hokD,protein_coding
relE,protein_coding
relB,protein_coding
ydfV,protein_coding
flxA,protein_coding
ydfW,protein_coding
ydfX,protein_coding
dicC,protein_coding
dicA,protein_coding
ydfA,protein_coding
ydfB,protein_coding
ydfC,protein_coding
dicF,ncRNA
dicB,protein_coding
ydfD,protein_coding
ydfE,pseudogene
insD7,pseudogene
intQ,pseudogene
ynfP,protein_coding
rspB,protein_coding
rspA,protein_coding
ynfA,protein_coding
ynfB,protein_coding
speG,protein_coding
ynfC,protein_coding
ynfD,protein_coding
ynfE,protein_coding
ynfF,protein_coding
ynfG,protein_coding
ynfH,protein_coding
dmsD,protein_coding
clcB,protein_coding
ynfK,protein_coding
mlc,protein_coding
ynfL,protein_coding
ynfM,protein_coding
asr,protein_coding
ydgU,protein_coding
ydgD,protein_coding
mdtI,protein_coding
mdtJ,protein_coding
ydgV,protein_coding
tqsA,protein_coding
pntB,protein_coding
pntA,protein_coding
ydgH,protein_coding
ydgI,protein_coding
folM,protein_coding
ydgC,protein_coding
rstA,protein_coding
rstB,protein_coding
tus,protein_coding
fumC,protein_coding
fumA,protein_coding
manA,protein_coding
ydgA,protein_coding
uidC,protein_coding
uidB,protein_coding
uidA,protein_coding
uidR,protein_coding
hdhA,protein_coding
malI,protein_coding
malX,protein_coding
malY,protein_coding
add,protein_coding
ydgJ,protein_coding
blr,protein_coding
cnu,protein_coding
ydgK,protein_coding
rsxA,protein_coding
rsxB,protein_coding
rsxC,protein_coding
rsxD,protein_coding
rsxG,protein_coding
rsxE,protein_coding
nth,protein_coding
dtpA,protein_coding
gstA,protein_coding
pdxY,protein_coding
tyrS,protein_coding
pdxH,protein_coding
mliC,protein_coding
anmK,protein_coding
slyB,protein_coding
slyA,protein_coding
ydhI,protein_coding
ydhJ,protein_coding
ydhK,protein_coding
sodC,protein_coding
ydhF,protein_coding
ydhL,protein_coding
nemR,protein_coding
nemA,protein_coding
gloA,protein_coding
rnt,protein_coding
lhr,protein_coding
grxD,protein_coding
mepH,protein_coding
sodB,protein_coding
ydhP,protein_coding
cydH,protein_coding
purR,protein_coding
ydhB,protein_coding
ydhC,protein_coding
cfa,protein_coding
ribC,protein_coding
mdtK,protein_coding
ydhQ,protein_coding
valV,tRNA
valW,tRNA
ydhR,protein_coding
ydhS,protein_coding
ydhT,protein_coding
ydhU,protein_coding
ydhX,protein_coding
ydhW,protein_coding
ydhV,protein_coding
ydhY,protein_coding
fumD,protein_coding
pykF,protein_coding
lpp,protein_coding
ldtE,protein_coding
sufE,protein_coding
sufS,protein_coding
sufD,protein_coding
sufC,protein_coding
sufB,protein_coding
sufA,protein_coding
rydB,ncRNA
ydiH,protein_coding
menI,protein_coding
ydiJ,protein_coding
ydiK,protein_coding
rprA,ncRNA
ydiL,protein_coding
ydiM,protein_coding
ydiN,protein_coding
ydiB,protein_coding
aroD,protein_coding
ydiF,protein_coding
ydiO,protein_coding
ydiP,protein_coding
ydiQ,protein_coding
ydiR,protein_coding
ydiS,protein_coding
ydiT,protein_coding
fadK,protein_coding
ppsA,protein_coding
ppsR,protein_coding
aroH,protein_coding
ydiE,protein_coding
ydiU,protein_coding
rflP,protein_coding
nlpC,protein_coding
btuD,protein_coding
btuE,protein_coding
btuC,protein_coding
ihfA,protein_coding
pheT,protein_coding
pheS,protein_coding
pheM,protein_coding
rplT,protein_coding
rpmI,protein_coding
infC,protein_coding
thrS,protein_coding
arpB,pseudogene
yniD,protein_coding
ydiY,protein_coding
pfkB,protein_coding
ydiZ,protein_coding
yniA,protein_coding
yniB,protein_coding
hxpB,protein_coding
ydjM,protein_coding
tcyP,protein_coding
ydjO,protein_coding
cedA,protein_coding
katE,protein_coding
chbG,protein_coding
chbF,protein_coding
chbR,protein_coding
chbA,protein_coding
chbC,protein_coding
chbB,protein_coding
osmE,protein_coding
nadE,protein_coding
cho,protein_coding
ves,protein_coding
spy,protein_coding
astE,protein_coding
astB,protein_coding
astD,protein_coding
astA,protein_coding
astC,protein_coding
xthA,protein_coding
ydjX,protein_coding
ydjY,protein_coding
ydjZ,protein_coding
ynjA,protein_coding
ynjB,protein_coding
ynjC,protein_coding
ynjD,protein_coding
ynjE,protein_coding
ynjF,protein_coding
nudG,protein_coding
ynjH,protein_coding
gdhA,protein_coding
ynjI,protein_coding
topB,protein_coding
selD,protein_coding
ydjA,protein_coding
sppA,protein_coding
ansA,protein_coding
pncA,protein_coding
ydjE,protein_coding
ydjF,protein_coding
ydjG,protein_coding
ydjH,protein_coding
ydjI,protein_coding
ydjJ,protein_coding
ydjK,protein_coding
ydjL,protein_coding
yeaC,protein_coding
msrB,protein_coding
gapA,protein_coding
yeaD,protein_coding
yeaE,protein_coding
mipA,protein_coding
yeaG,protein_coding
yeaH,protein_coding
cdgI,protein_coding
dgcJ,protein_coding
yeaK,protein_coding
yoaI,protein_coding
yeaL,protein_coding
nimR,protein_coding
nimT,protein_coding
yeaO,protein_coding
yoaF,protein_coding
dgcP,protein_coding
yoaK,protein_coding
yoaJ,protein_coding
yeaQ,protein_coding
yoaG,protein_coding
yeaR,protein_coding
leuE,protein_coding
dmlR,protein_coding
dmlA,protein_coding
yeaV,protein_coding
yeaW,protein_coding
yeaX,protein_coding
rnd,protein_coding
fadD,protein_coding
yeaY,protein_coding
tsaB,protein_coding
yoaA,protein_coding
yoaB,protein_coding
yoaC,protein_coding
yoaH,protein_coding
pabB,protein_coding
nudL,protein_coding
sdaA,protein_coding
pdeD,protein_coding
yoaE,protein_coding
yoaL,protein_coding
manX,protein_coding
manY,protein_coding
manZ,protein_coding
yobD,protein_coding
mntP,protein_coding
rlmA,protein_coding
cspC,protein_coding
yobF,protein_coding
yebO,protein_coding
mgrB,protein_coding
yobH,protein_coding
kdgR,protein_coding
yebQ,protein_coding
htpX,protein_coding
prc,protein_coding
proQ,protein_coding
msrC,protein_coding
letA,protein_coding
letB,protein_coding
rsmF,protein_coding
yebV,protein_coding
yebW,protein_coding
pphA,protein_coding
ryeA,ncRNA
sdsR,ncRNA
yebY,protein_coding
yebZ,protein_coding
yobA,protein_coding
holE,protein_coding
yobB,protein_coding
exoX,protein_coding
ptrB,protein_coding
yebE,protein_coding
yebF,protein_coding
yebG,protein_coding
purT,protein_coding
eda,protein_coding
edd,protein_coding
zwf,protein_coding
yebK,protein_coding
pykA,protein_coding
lpxM,protein_coding
mepM,protein_coding
znuA,protein_coding
znuC,protein_coding
znuB,protein_coding
ruvB,protein_coding
ruvA,protein_coding
yobI,protein_coding
yebB,protein_coding
ruvC,protein_coding
yebC,protein_coding
nudB,protein_coding
aspS,protein_coding
yecD,protein_coding
yecE,protein_coding
yecN,protein_coding
cmoA,protein_coding
cmoB,protein_coding
torZ,protein_coding
torY,protein_coding
micL,ncRNA
cutC,protein_coding
yecM,protein_coding
argS,protein_coding
yecV,protein_coding
yecT,protein_coding
flhE,protein_coding
flhA,protein_coding
flhB,protein_coding
cheZ,protein_coding
cheY,protein_coding
cheB,protein_coding
cheR,protein_coding
tap,protein_coding
tar,protein_coding
cheW,protein_coding
cheA,protein_coding
motB,protein_coding
motA,protein_coding
flhC,protein_coding
flhD,protein_coding
insB5,protein_coding
insA5,protein_coding
uspC,protein_coding
otsA,protein_coding
otsB,protein_coding
araH,protein_coding
araG,protein_coding
araF,protein_coding
ftnB,protein_coding
yecJ,protein_coding
azuC,protein_coding
yecR,protein_coding
ftnA,protein_coding
yecH,protein_coding
tyrP,protein_coding
yecA,protein_coding
3'ETS-leuZ,ncRNA
leuZ,tRNA
cysT,tRNA
glyW,tRNA
pgsA,protein_coding
uvrC,protein_coding
uvrY,protein_coding
yecU,protein_coding
yecF,protein_coding
sdiA,protein_coding
sdsN,ncRNA
tcyN,protein_coding
tcyL,protein_coding
dcyD,protein_coding
tcyJ,protein_coding
fliZ,protein_coding
fliA,protein_coding
fliC,protein_coding
fliD,protein_coding
fliS,protein_coding
fliT,protein_coding
amyA,protein_coding
yedD,protein_coding
yedE,protein_coding
yedF,protein_coding
yedK,protein_coding
yedL,protein_coding
yedN,pseudogene
intG,pseudogene
fliE,protein_coding
fliF,protein_coding
fliG,protein_coding
fliH,protein_coding
fliI,protein_coding
fliJ,protein_coding
fliK,protein_coding
fliL,protein_coding
fliM,protein_coding
fliN,protein_coding
fliO,protein_coding
fliP,protein_coding
fliQ,protein_coding
fliR,protein_coding
rcsA,protein_coding
dsrB,protein_coding
yodD,protein_coding
dsrA,ncRNA
yedP,protein_coding
dgcQ,protein_coding
yodC,protein_coding
yedI,protein_coding
yedA,protein_coding
vsr,protein_coding
dcm,protein_coding
yedJ,protein_coding
yedR,protein_coding
rseX,ncRNA
yedS,pseudogene
hchA,protein_coding
hprS,protein_coding
hprR,protein_coding
hiuH,protein_coding
msrP,protein_coding
msrQ,protein_coding
zinT,protein_coding
yodB,protein_coding
serU,tRNA
mtfA,protein_coding
asnT,tRNA
yeeJ,protein_coding
yeeL,pseudogene
shiA,protein_coding
amn,protein_coding
yeeN,protein_coding
asnW,tRNA
yeeO,protein_coding
asnU,tRNA
cbl,protein_coding
nac,protein_coding
asnV,tRNA
ldtA,protein_coding
cobT,protein_coding
cobS,protein_coding
cobU,protein_coding
yeeH,pseudogene
insH6,protein_coding
yoeG,pseudogene
yoeH,pseudogene
yoeA,pseudogene
insD3,protein_coding
insC3,protein_coding
yeeP,pseudogene
isrC,ncRNA
flu,protein_coding
yeeR,protein_coding
yeeS,protein_coding
yeeT,protein_coding
cbeA,protein_coding
cbtA,protein_coding
yeeW,protein_coding
yoeD,pseudogene
yoeF,protein_coding
yeeX,protein_coding
yeeA,protein_coding
sbmC,protein_coding
dacD,protein_coding
sbcB,protein_coding
yeeD,protein_coding
yeeE,protein_coding
plaP,protein_coding
yoeI,protein_coding
yeeY,protein_coding
yeeZ,protein_coding
yoeB,protein_coding
yefM,protein_coding
hisL,protein_coding
hisG,protein_coding
hisD,protein_coding
hisC,protein_coding
hisB,protein_coding
hisH,protein_coding
hisA,protein_coding
hisF,protein_coding
hisI,protein_coding
wzzB,protein_coding
ugd,protein_coding
gnd,protein_coding
wbbL,pseudogene
insH7,protein_coding
wbbK,protein_coding
wbbJ,protein_coding
wbbI,protein_coding
wbbH,protein_coding
glf,protein_coding
rfbX,protein_coding
rfbC,protein_coding
rfbA,protein_coding
rfbD,protein_coding
rfbB,protein_coding
galF,protein_coding
wcaM,protein_coding
wcaL,protein_coding
wcaK,protein_coding
wzxC,protein_coding
wcaJ,protein_coding
cpsG,protein_coding
cpsB,protein_coding
wcaI,protein_coding
gmm,protein_coding
fcl,protein_coding
gmd,protein_coding
wcaF,protein_coding
wcaE,protein_coding
wcaD,protein_coding
wcaC,protein_coding
wcaB,protein_coding
wcaA,protein_coding
wzc,protein_coding
wzb,protein_coding
wza,protein_coding
yegH,protein_coding
asmA,protein_coding
dcd,protein_coding
udk,protein_coding
dgcE,protein_coding
alkA,protein_coding
yegD,protein_coding
yegI,protein_coding
yegJ,protein_coding
pphC,protein_coding
yegL,protein_coding
sibA,ncRNA
ibsA,protein_coding
sibB,ncRNA
ibsB,protein_coding
mdtA,protein_coding
mdtB,protein_coding
mdtC,protein_coding
mdtD,protein_coding
baeS,protein_coding
baeR,protein_coding
yegP,protein_coding
trhP,protein_coding
cyaR,ncRNA
ogrK,protein_coding
yegZ,pseudogene
yegR,protein_coding
yegS,protein_coding
gatR,pseudogene
insE5,protein_coding
insF5,protein_coding
gatD,protein_coding
gatC,pseudogene
gatB,protein_coding
gatA,protein_coding
gatZ,protein_coding
gatY,protein_coding
fbaB,protein_coding
yegT,protein_coding
yegU,protein_coding
yegV,protein_coding
yegW,protein_coding
yegX,protein_coding
thiD,protein_coding
thiM,protein_coding
rcnR,protein_coding
rcnA,protein_coding
rcnB,protein_coding
yehA,protein_coding
yehB,protein_coding
yehC,protein_coding
yehD,protein_coding
yehE,protein_coding
mrp,protein_coding
metG,protein_coding
yehF,protein_coding
yehH,pseudogene
yehI,protein_coding
yehK,protein_coding
yehL,protein_coding
yehM,protein_coding
yehP,protein_coding
yehQ,protein_coding
yehR,protein_coding
yehS,protein_coding
btsR,protein_coding
btsS,protein_coding
mlrA,protein_coding
yohO,protein_coding
yehW,protein_coding
yehX,protein_coding
yehY,protein_coding
osmF,protein_coding
bglX,protein_coding
dld,protein_coding
pbpG,protein_coding
yohC,protein_coding
yohD,protein_coding
yohF,protein_coding
mdtQ,pseudogene
yohP,protein_coding
dusC,protein_coding
yohJ,protein_coding
yohK,protein_coding
cdd,protein_coding
sanA,protein_coding
yeiS,protein_coding
preT,protein_coding
preA,protein_coding
mglC,protein_coding
mglA,protein_coding
mglB,protein_coding
galS,protein_coding
yeiB,protein_coding
folE,protein_coding
yeiG,protein_coding
cirA,protein_coding
lysP,protein_coding
yeiE,protein_coding
yeiH,protein_coding
nfo,protein_coding
yeiI,protein_coding
nupX,protein_coding
rihB,protein_coding
yeiL,protein_coding
psuT,protein_coding
psuG,protein_coding
psuK,protein_coding
fruA,protein_coding
fruK,protein_coding
fruB,protein_coding
setB,protein_coding
yeiW,protein_coding
yeiP,protein_coding
yeiQ,protein_coding
yeiR,protein_coding
lpxT,protein_coding
mepS,protein_coding
pdeN,protein_coding
yejA,protein_coding
yejB,protein_coding
yejE,protein_coding
yejF,protein_coding
yejG,protein_coding
bcr,protein_coding
rsuA,protein_coding
radD,protein_coding
rplY,protein_coding
yejK,protein_coding
yejL,protein_coding
yejM,protein_coding
proL,tRNA
yejO,pseudogene
insH8,protein_coding
narP,protein_coding
ccmH,protein_coding
ccmG,protein_coding
ccmF,protein_coding
ccmE,protein_coding
ccmD,protein_coding
ccmC,protein_coding
ccmB,protein_coding
ccmA,protein_coding
napC,protein_coding
napB,protein_coding
napH,protein_coding
napG,protein_coding
napA,protein_coding
napD,protein_coding
napF,protein_coding
yojO,protein_coding
eco,protein_coding
mqo,protein_coding
yojI,protein_coding
alkB,protein_coding
ada,protein_coding
ftp,protein_coding
ompC,protein_coding
micF,ncRNA
rcsD,protein_coding
rcsB,protein_coding
rcsC,protein_coding
atoS,protein_coding
atoC,protein_coding
atoD,protein_coding
atoA,protein_coding
atoE,protein_coding
atoB,protein_coding
yfaP,protein_coding
yfaQ,protein_coding
yfaS,pseudogene
yfaT,protein_coding
yfaA,protein_coding
gyrA,protein_coding
ubiG,protein_coding
yfaL,protein_coding
ypaB,protein_coding
nrdA,protein_coding
yoaM,protein_coding
nrdB,protein_coding
yfaE,protein_coding
inaA,protein_coding
yfaH,pseudogene
glpQ,protein_coding
glpT,protein_coding
glpA,protein_coding
glpB,protein_coding
glpC,protein_coding
rpnE,protein_coding
ypaA,pseudogene
yfaU,protein_coding
yfaV,protein_coding
rhmD,protein_coding
yfaX,protein_coding
yfaY,protein_coding
yfaZ,protein_coding
nudI,protein_coding
ais,protein_coding
arnB,protein_coding
arnC,protein_coding
arnA,protein_coding
arnD,protein_coding
arnT,protein_coding
arnE,protein_coding
arnF,protein_coding
pmrD,protein_coding
menE,protein_coding
menC,protein_coding
menB,protein_coding
menH,protein_coding
menD,protein_coding
menF,protein_coding
elaB,protein_coding
elaA,protein_coding
rbn,protein_coding
elaD,protein_coding
yfbK,protein_coding
yfbL,protein_coding
yfbM,protein_coding
yfbN,protein_coding
yfbO,protein_coding
yfbP,protein_coding
nuoN,protein_coding
nuoM,protein_coding
nuoL,protein_coding
nuoK,protein_coding
nuoJ,protein_coding
nuoI,protein_coding
nuoH,protein_coding
nuoG,protein_coding
nuoF,protein_coding
nuoE,protein_coding
nuoC,protein_coding
nuoB,protein_coding
nuoA,protein_coding
lrhA,protein_coding
alaA,protein_coding
yfbR,protein_coding
yfbS,protein_coding
hxpA,protein_coding
yfbU,protein_coding
yfbV,protein_coding
ackA,protein_coding
pta,protein_coding
yfcC,protein_coding
yfcD,protein_coding
yfcE,protein_coding
yfcF,protein_coding
yfcG,protein_coding
folX,protein_coding
yfcH,protein_coding
rpnB,protein_coding
hisP,protein_coding
hisM,protein_coding
hisQ,protein_coding
hisJ,protein_coding
argT,protein_coding
ubiX,protein_coding
purF,protein_coding
cvpA,protein_coding
dedD,protein_coding
folC,protein_coding
accD,protein_coding
dedA,protein_coding
truA,protein_coding
usg,protein_coding
pdxB,protein_coding
flk,protein_coding
yfcJ,protein_coding
fabB,protein_coding
mnmC,protein_coding
yfcL,protein_coding
epmC,protein_coding
yfcA,protein_coding
mepA,protein_coding
aroC,protein_coding
prmB,protein_coding
smrB,protein_coding
yfcO,protein_coding
yfcP,protein_coding
yfcQ,protein_coding
yfcR,protein_coding
yfcS,protein_coding
yfcU,pseudogene
yfcV,protein_coding
sixA,protein_coding
fadJ,protein_coding
fadI,protein_coding
yfcZ,protein_coding
fadL,protein_coding
yfdF,protein_coding
mlaA,protein_coding
yfdC,protein_coding
argW,tRNA
intS,protein_coding
yfdG,protein_coding
yfdH,protein_coding
yfdI,protein_coding
yodE,protein_coding
tfaS,pseudogene
yfdK,protein_coding
yfdL,pseudogene
yfdM,protein_coding
yfdN,protein_coding
yfdO,protein_coding
yfdP,protein_coding
yfdQ,protein_coding
yfdR,protein_coding
yfdS,protein_coding
yfdT,protein_coding
ypdJ,protein_coding
torI,protein_coding
pawZ,pseudogene
dsdC,protein_coding
dsdX,protein_coding
dsdA,protein_coding
emrY,protein_coding
emrK,protein_coding
evgL,protein_coding
evgA,protein_coding
evgS,protein_coding
yfdE,protein_coding
yfdV,protein_coding
oxc,protein_coding
frc,protein_coding
yfdX,protein_coding
ypdI,protein_coding
yfdY,protein_coding
lpxP,protein_coding
ypdK,protein_coding
alaC,protein_coding
pyrS,protein_coding
pyrR,protein_coding
ypdC,protein_coding
fryA,protein_coding
ypdE,protein_coding
ypdF,protein_coding
fryC,protein_coding
fryB,protein_coding
glk,protein_coding
yfeO,protein_coding
ypeC,protein_coding
mntH,protein_coding
nupC,protein_coding
insL3,protein_coding
pdeA,protein_coding
alaX,tRNA
alaW,tRNA
yfeC,protein_coding
yfeD,protein_coding
gltX,protein_coding
valU,tRNA
valX,tRNA
valY,tRNA
lysV,tRNA
xapR,protein_coding
xapB,protein_coding
xapA,protein_coding
yfeN,protein_coding
yfeR,protein_coding
yfeH,protein_coding
ypeB,protein_coding
ligA,protein_coding
zipA,protein_coding
cysZ,protein_coding
cysK,protein_coding
ptsH,protein_coding
ptsI,protein_coding
crr,protein_coding
pdxK,protein_coding
yfeK,protein_coding
yfeS,protein_coding
cysM,protein_coding
cysA,protein_coding
cysW,protein_coding
cysU,protein_coding
cysP,protein_coding
ucpA,protein_coding
murR,protein_coding
murQ,protein_coding
murP,protein_coding
yfeW,protein_coding
yfeX,protein_coding
yfeY,protein_coding
yfeZ,protein_coding
ypeA,protein_coding
amiA,protein_coding
hemF,protein_coding
eutR,protein_coding
eutK,protein_coding
eutL,protein_coding
eutC,protein_coding
eutB,protein_coding
intZ,protein_coding
yffL,protein_coding
yffM,protein_coding
yffN,protein_coding
yffO,protein_coding
yffP,protein_coding
yffQ,protein_coding
yffR,protein_coding
yffS,protein_coding
eutA,protein_coding
eutH,protein_coding
eutG,protein_coding
eutJ,protein_coding
eutE,protein_coding
eutN,protein_coding
eutM,protein_coding
eutD,protein_coding
eutT,protein_coding
eutQ,protein_coding
eutP,protein_coding
eutS,protein_coding
maeB,protein_coding
talA,protein_coding
tktB,protein_coding
ypfG,protein_coding
nudK,protein_coding
aegA,protein_coding
narQ,protein_coding
acrD,protein_coding
ypfM,protein_coding
yffB,protein_coding
dapE,protein_coding
ypfN,protein_coding
ypfH,protein_coding
tmcA,protein_coding
ypfJ,protein_coding
purC,protein_coding
bamC,protein_coding
dapA,protein_coding
gcvR,protein_coding
bcp,protein_coding
hyfA,protein_coding
hyfB,protein_coding
hyfC,protein_coding
hyfD,protein_coding
hyfE,protein_coding
hyfF,protein_coding
hyfG,protein_coding
hyfH,protein_coding
hyfI,protein_coding
hyfJ,protein_coding
hyfR,protein_coding
focB,protein_coding
yfgO,protein_coding
bepA,protein_coding
yfgD,protein_coding
hda,protein_coding
uraA,protein_coding
upp,protein_coding
purM,protein_coding
purN,protein_coding
ppk,protein_coding
ppx,protein_coding
pdeF,protein_coding
yfgG,protein_coding
yfgH,protein_coding
yfgI,protein_coding
guaA,protein_coding
guaB,protein_coding
xseA,protein_coding
yfgJ,protein_coding
der,protein_coding
bamB,protein_coding
yfgM,protein_coding
hisS,protein_coding
sroE,ncRNA
ispG,protein_coding
rodZ,protein_coding
rlmN,protein_coding
ndk,protein_coding
pbpC,protein_coding
yfhM,protein_coding
sseA,protein_coding
ryfA,ncRNA
sseB,protein_coding
pepB,protein_coding
iscX,protein_coding
fdx,protein_coding
hscA,protein_coding
hscB,protein_coding
iscA,protein_coding
iscU,protein_coding
iscS,protein_coding
iscR,protein_coding
trmJ,protein_coding
suhB,protein_coding
yfhR,protein_coding
csiE,protein_coding
hcaT,protein_coding
hcaR,protein_coding
iroK,protein_coding
hcaE,protein_coding
hcaF,protein_coding
hcaC,protein_coding
hcaB,protein_coding
hcaD,protein_coding
yphA,protein_coding
yphB,protein_coding
yphC,protein_coding
yphD,protein_coding
yphE,protein_coding
yphF,protein_coding
yphG,protein_coding
yphH,protein_coding
glyA,protein_coding
hmp,protein_coding
glnB,protein_coding
glrR,protein_coding
qseG,protein_coding
glrK,protein_coding
glmY,ncRNA
purL,protein_coding
mltF,protein_coding
tadA,protein_coding
pgpC,protein_coding
yfhH,protein_coding
yfhL,protein_coding
shoB,protein_coding
ohsC,ncRNA
acpS,protein_coding
pdxJ,protein_coding
recO,protein_coding
era,protein_coding
rnc,protein_coding
lepB,protein_coding
lepA,protein_coding
rseC,protein_coding
rseB,protein_coding
rseA,protein_coding
rpoE,protein_coding
rseD,protein_coding
nadB,protein_coding
