gene,biotype
ykgL,protein_coding
ykgO,protein_coding
ykgM,protein_coding
ykgR,protein_coding
ykgP,pseudogene
eaeH,pseudogene
insE1,protein_coding
insF1,protein_coding
ykgA,pseudogene
ykgQ,pseudogene
rclC,protein_coding
rclB,protein_coding
rclA,protein_coding
rclR,protein_coding
ykgE,protein_coding
ykgF,protein_coding
ykgG,protein_coding
ykgH,protein_coding
betA,protein_coding
betB,protein_coding
betI,protein_coding
betT,protein_coding
yahV,protein_coding
pdeL,protein_coding
yahB,protein_coding
yahC,protein_coding
yahD,protein_coding
yahE,protein_coding
yahF,protein_coding
yahG,protein_coding
yahH,protein_coding
yahI,protein_coding
yahJ,protein_coding
yahK,protein_coding
yahL,protein_coding
yahM,protein_coding
yahN,protein_coding
yahO,protein_coding
prpR,protein_coding
prpB,protein_coding
prpC,protein_coding
prpD,protein_coding
prpE,protein_coding
codB,protein_coding
codA,protein_coding
cynR,protein_coding
cynT,protein_coding
cynS,protein_coding
cynX,protein_coding
lacA,protein_coding
lacY,protein_coding
lacZ,protein_coding
lacI,protein_coding
mhpR,protein_coding
mhpA,protein_coding
mhpB,protein_coding
mhpC,protein_coding
mhpD,protein_coding
mhpF,protein_coding
mhpE,protein_coding
mhpT,protein_coding
yaiL,protein_coding
frmB,protein_coding
frmA,protein_coding
frmR,protein_coding
yaiO,protein_coding
yaiX,pseudogene
insC1,protein_coding
insD1,protein_coding
yaiP,protein_coding
ykiC,protein_coding
yaiS,protein_coding
tauA,protein_coding
tauB,protein_coding
tauC,protein_coding
tauD,protein_coding
hemB,protein_coding
yaiT,pseudogene
ytiB,protein_coding
insF2,protein_coding
insE2,protein_coding
iprA,protein_coding
ampH,protein_coding
sbmA,protein_coding
yaiW,protein_coding
yaiY,protein_coding
yaiZ,protein_coding
ddlA,protein_coding
iraP,protein_coding
phoA,protein_coding
psiF,protein_coding
dgcC,protein_coding
proC,protein_coding
yaiI,protein_coding
aroL,protein_coding
yaiA,protein_coding
aroM,protein_coding
ppnP,protein_coding
ykiA,pseudogene
ykiD,protein_coding
rdgC,protein_coding
mak,protein_coding
araJ,protein_coding
sbcC,protein_coding
sbcD,protein_coding
phoB,protein_coding
phoR,protein_coding
brnQ,protein_coding
proY,protein_coding
malZ,protein_coding
acpH,protein_coding
queA,protein_coding
tgt,protein_coding
yajC,protein_coding
secD,protein_coding
secF,protein_coding
yajD,protein_coding
tsx,protein_coding
yajI,protein_coding
nrdR,protein_coding
ribD,protein_coding
ribE,protein_coding
nusB,protein_coding
thiL,protein_coding
pgpA,protein_coding
yajO,protein_coding
dxs,protein_coding
ispA,protein_coding
xseB,protein_coding
thiI,protein_coding
yajL,protein_coding
panE,protein_coding
yajQ,protein_coding
yajR,protein_coding
cyoE,protein_coding
cyoD,protein_coding
cyoC,protein_coding
cyoB,protein_coding
cyoA,protein_coding
ampG,protein_coding
yajG,protein_coding
bolA,protein_coding
tig,protein_coding
clpP,protein_coding
clpX,protein_coding
lon,protein_coding
hupB,protein_coding
ppiD,protein_coding
ybaV,protein_coding
fadM,protein_coding
queC,protein_coding
ybaE,protein_coding
cof,protein_coding
decR,protein_coding
mdlA,protein_coding
mdlB,protein_coding
glnK,protein_coding
amtB,protein_coding
tesB,protein_coding
ybaY,protein_coding
ybaZ,protein_coding
ffs,ncRNA
ybaA,protein_coding
pdeB,protein_coding
ylaC,protein_coding
maa,protein_coding
hha,protein_coding
tomB,protein_coding
acrB,protein_coding
acrA,protein_coding
acrR,protein_coding
mscK,protein_coding
ybaM,protein_coding
priC,protein_coding
