,0
rrsH,ECK0201
ileV,ECK0202
alaV,ECK0203
rrlH,ECK0204
rrfH,ECK0205
aspU,ECK0206
dkgB,"ECK0207,yafB"
yafC,ECK0208
yafD,ECK0209
yafE,ECK0210
mltD,"dniR,ECK0211,yafG"
gloB,"ECK0212,yafR"
yafS,ECK0213
rnhA,"cer,dasF,ECK0214,herA,rnh,sdrA,sin"
dnaQ,"ECK0215,mutD"
aspV,ECK0216
yafT,ECK0217
ykfM,ECK4397
yafU,ECK0218
yafF,ECK0219
yafV,ECK0220
ivy,"ECK0221,ykfE"
fadE,"ECK0222,yafH"
gmhA,"ECK0223,lpcA,tfrA,yafI"
yafJ,ECK0224
ldtF,"ECK0225,yafK"
yafQ,ECK0226
dinJ,"ECK0227,sosA"
yafL,ECK0228
rayT,"ECK0229,yafM"
lfhA,"ECK0230,fhiA"
lafU,"ECK0231,mbhA"
dinB,"dinP,ECK0232"
yafN,ECK0233
yafO,ECK0234
yafP,ECK0235
ykfJ,ECK0236
prfH,ECK0237
pepD,"ECK0238,pepH"
gpt,"ECK0239,glyD,gpp,gxu"
frsA,"ECK0240,yafA"
crl,ECK0241
insB9,ECK4567
insA9,ECK4566
phoE,"ECK0242,ompE"
proB,"ECK0243,pro(2),pro2"
proA,"ECK0244,pro(1),pro1"
thrW,ECK0245
ykfN,ECK4458
ykfI,ECK0246
yafW,ECK0247
ykfH,ECK0248
ykfG,ECK0249
yafX,ECK0250
ykfF,ECK0251
ykfB,ECK0252
yafY,ECK0253
ykfL,ECK4445
ykfK,ECK4444
yafZ,ECK0254
ykfA,ECK0255
perR,ECK0256
insN,"b0255,b0257,ECK0257,yi91a"
insI1,"ECK0258,tra8-1"
eyeA,ECK4506
ykfC,ECK0260
insH1,"ECK0261,trs5,trs5-1,yi52_1"
mmuP,"ECK0262,ykfD"
mmuM,"ECK0263,yagD"
afuC,"ECK0264,fbpC,yagC"
afuB,"ECK0265,fbpB"
insB2,ECK0022
insA2,ECK0023
insI2,"ECK0258,tra8-2"
insX,"ECK0266,ECK4473,ykgN"
yagB,ECK0267
yagA,ECK0268
yagE,ECK0269
yagF,ECK0270
yagG,ECK0271
yagH,ECK0272
xynR,"ECK0273,yagI"
argF,ECK0274
argL,ECK4623
ykgS,ECK4504
insB3,ECK0022
insA3,ECK0023
yagJ,ECK0275
yagK,ECK0276
yagL,ECK0277
yagM,ECK0278
ykgV,ECK4586
yagN,ECK0279
intF,"ECK0280,yagO"
yagP,"b4695,ECK0281,ykgT"
paoD,"ECK0282,yagQ"
paoC,"ECK0283,yagR"
paoB,"ECK0284,yagS"
paoA,"ECK0285,yagT"
yagU,ECK0286
ykgJ,ECK0287
ecpE,"ECK0288,matF,yagV"
ecpD,"ECK0289,matE,yagW"
ecpC,"ECK0290,matD,yagX"
ecpB,"ECK0291,matC,yagY"
ecpA,"ECK0292,matB,yagZ"
ecpR,"ECK0293,matA,ykgK"
ykgL,ECK0294
ykgO,ECK0295
ykgM,ECK0296
ykgR,ECK4486
ykgP,ECK4446
eaeH,ECK0297
insE1,ECK0298
insF1,"ECK0299,tra5-5"
ykgA,ECK0300
ykgQ,ECK4454
rclC,"ECK0301,ykgB"
rclB,"ECK0302,ykgI"
rclA,"ECK0303,ykgC"
rclR,"ECK0304,ykgD"
ykgE,ECK0305
ykgF,ECK0306
ykgG,ECK0307
ykgH,ECK0308
betA,ECK0309
betB,ECK0310
betI,ECK0311
betT,ECK0312
yahV,ECK4587
pdeL,"ECK0313,yahA"
yahB,ECK0314
yahC,ECK0315
yahD,ECK0316
yahE,ECK0317
yahF,ECK0318
yahG,ECK0319
yahH,ECK0320
yahI,ECK0321
yahJ,ECK0322
yahK,ECK0323
yahL,ECK0324
yahM,ECK0325
yahN,ECK0326
yahO,ECK0327
prpR,"ECK0328,yahP"
prpB,"ECK0329,yahQ"
prpC,"ECK0330,yahS,yzzD"
prpD,"acnC,ECK0331,yahT"
prpE,"ECK0332,yahU"
codB,ECK0333
codA,ECK0334
cynR,ECK0335
cynT,ECK0336
cynS,"cnt,cyaN,ECK0337"
cynX,ECK0338
lacA,ECK0339
lacY,ECK0340
lacZ,ECK0341
lacI,ECK0342
mhpR,ECK0343
mhpA,ECK0344
mhpB,ECK0345
mhpC,ECK0346
mhpD,"ECK0347,mhpS"
mhpF,ECK0348
mhpE,ECK0349
mhpT,"ECK0350,yaiK"
yaiL,ECK0351
frmB,"ECK0352,yaiM"
frmA,"adhC,ECK0353"
frmR,"ECK0354,yaiN"
yaiO,ECK0355
yaiX,"b0359,b0362,ECK0356,ECK0359,yaiF"
insC1,"ECK0357,yi21-1"
insD1,"ECK0358,yi22-1"
