,gene,biotype,synonym
182,skp,protein_coding,"ECK0177,firA,hlpA,ompH"
183,lpxD,protein_coding,"ECK0178,firA,omsA"
184,fabZ,protein_coding,"ECK0179,sabA1,sefA,sfhC21,yaeA"
185,lpxA,protein_coding,ECK0180
186,lpxB,protein_coding,"ECK0181,pgsB"
187,rnhB,protein_coding,ECK0182
188,dnaE,protein_coding,"ECK0183,polC,sdgC"
189,accA,protein_coding,ECK0184
190,ldcC,protein_coding,"ECK0185,ldc,ldcH"
191,yaeR,protein_coding,ECK0186
192,tilS,protein_coding,"ECK0187,mesJ,yaeN"
193,rof,protein_coding,"ECK0188,yaeO"
194,yaeP,protein_coding,ECK0189
195,yaeQ,protein_coding,ECK0190
196,arfB,protein_coding,"ECK0191,yaeJ"
197,nlpE,protein_coding,"cutF,ECK0192"
198,yaeF,protein_coding,"ECK0193,yaeK"
199,proS,protein_coding,"drp,drpA,ECK0194"
200,trmO,protein_coding,"ECK0195,tsaA,yaeB"
201,rcsF,protein_coding,ECK0196
202,metQ,protein_coding,"ECK0197,metD,yaeC"
203,metI,protein_coding,"ECK0198,metD,yaeE"
204,metN,protein_coding,"abc,ECK0199,metD"
205,gmhB,protein_coding,"ECK0200,yaeD"
206,rrsH,rRNA,ECK0201
207,ileV,tRNA,ECK0202
208,alaV,tRNA,ECK0203
209,rrlH,rRNA,ECK0204
210,rrfH,rRNA,ECK0205
211,aspU,tRNA,ECK0206
212,dkgB,protein_coding,"ECK0207,yafB"
213,yafC,protein_coding,ECK0208
214,yafD,protein_coding,ECK0209
215,yafE,protein_coding,ECK0210
216,mltD,protein_coding,"dniR,ECK0211,yafG"
217,gloB,protein_coding,"ECK0212,yafR"
218,yafS,protein_coding,ECK0213
219,rnhA,protein_coding,"cer,dasF,ECK0214,herA,rnh,sdrA,sin"
220,dnaQ,protein_coding,"ECK0215,mutD"
221,aspV,tRNA,ECK0216
222,yafT,protein_coding,ECK0217
223,ykfM,protein_coding,ECK4397
224,yafU,pseudogene,ECK0218
225,yafF,pseudogene,ECK0219
226,yafV,protein_coding,ECK0220
227,ivy,protein_coding,"ECK0221,ykfE"
228,fadE,protein_coding,"ECK0222,yafH"
229,gmhA,protein_coding,"ECK0223,lpcA,tfrA,yafI"
230,yafJ,protein_coding,ECK0224
231,ldtF,protein_coding,"ECK0225,yafK"
232,yafQ,protein_coding,ECK0226
233,dinJ,protein_coding,"ECK0227,sosA"
234,yafL,protein_coding,ECK0228
235,rayT,protein_coding,"ECK0229,yafM"
236,lfhA,pseudogene,"ECK0230,fhiA"
237,lafU,pseudogene,"ECK0231,mbhA"
238,dinB,protein_coding,"dinP,ECK0232"
239,yafN,protein_coding,ECK0233
240,yafO,protein_coding,ECK0234
241,yafP,protein_coding,ECK0235
242,ykfJ,pseudogene,ECK0236
243,prfH,pseudogene,ECK0237
244,pepD,protein_coding,"ECK0238,pepH"
245,gpt,protein_coding,"ECK0239,glyD,gpp,gxu"
246,frsA,protein_coding,"ECK0240,yafA"
247,crl,pseudogene,ECK0241
248,insB9,protein_coding,ECK4567
249,insA9,protein_coding,ECK4566
250,phoE,protein_coding,"ECK0242,ompE"
251,proB,protein_coding,"ECK0243,pro(2),pro2"
252,proA,protein_coding,"ECK0244,pro(1),pro1"
253,thrW,tRNA,ECK0245
254,ykfN,pseudogene,ECK4458
255,ykfI,protein_coding,ECK0246
256,yafW,protein_coding,ECK0247
257,ykfH,protein_coding,ECK0248
258,ykfG,protein_coding,ECK0249
259,yafX,protein_coding,ECK0250
260,ykfF,protein_coding,ECK0251
261,ykfB,protein_coding,ECK0252
262,yafY,protein_coding,ECK0253
263,ykfL,pseudogene,ECK4445
264,ykfK,pseudogene,ECK4444
265,yafZ,protein_coding,ECK0254
266,ykfA,protein_coding,ECK0255
267,perR,protein_coding,ECK0256
268,insN,pseudogene,"b0255,b0257,ECK0257,yi91a"
269,insI1,protein_coding,"ECK0258,tra8-1"
270,eyeA,ncRNA,ECK4506
271,ykfC,protein_coding,ECK0260
272,insH1,protein_coding,"ECK0261,trs5,trs5-1,yi52_1"
273,mmuP,protein_coding,"ECK0262,ykfD"
274,mmuM,protein_coding,"ECK0263,yagD"
275,afuC,protein_coding,"ECK0264,fbpC,yagC"
276,afuB,pseudogene,"ECK0265,fbpB"
277,insB2,protein_coding,ECK0022
278,insA2,protein_coding,ECK0023
279,insI2,protein_coding,"ECK0258,tra8-2"
280,insX,pseudogene,"ECK0266,ECK4473,ykgN"
281,yagB,protein_coding,ECK0267
282,yagA,protein_coding,ECK0268
283,yagE,protein_coding,ECK0269
284,yagF,protein_coding,ECK0270
285,yagG,protein_coding,ECK0271
286,yagH,protein_coding,ECK0272
287,xynR,protein_coding,"ECK0273,yagI"
288,argF,protein_coding,ECK0274
289,argL,protein_coding,ECK4623
290,ykgS,protein_coding,ECK4504
291,insB3,protein_coding,ECK0022
292,insA3,protein_coding,ECK0023
293,yagJ,protein_coding,ECK0275
294,yagK,protein_coding,ECK0276
295,yagL,protein_coding,ECK0277
296,yagM,protein_coding,ECK0278
297,ykgV,protein_coding,ECK4586
298,yagN,protein_coding,ECK0279
299,intF,protein_coding,"ECK0280,yagO"
300,yagP,protein_coding,"b4695,ECK0281,ykgT"
301,paoD,protein_coding,"ECK0282,yagQ"
302,paoC,protein_coding,"ECK0283,yagR"
303,paoB,protein_coding,"ECK0284,yagS"
304,paoA,protein_coding,"ECK0285,yagT"
305,yagU,protein_coding,ECK0286
306,ykgJ,protein_coding,ECK0287
307,ecpE,protein_coding,"ECK0288,matF,yagV"
308,ecpD,protein_coding,"ECK0289,matE,yagW"
309,ecpC,protein_coding,"ECK0290,matD,yagX"
310,ecpB,protein_coding,"ECK0291,matC,yagY"
311,ecpA,protein_coding,"ECK0292,matB,yagZ"
312,ecpR,protein_coding,"ECK0293,matA,ykgK"
313,ykgL,protein_coding,ECK0294
314,ykgO,protein_coding,ECK0295
315,ykgM,protein_coding,ECK0296
316,ykgR,protein_coding,ECK4486
317,ykgP,pseudogene,ECK4446
318,eaeH,pseudogene,ECK0297
319,insE1,protein_coding,ECK0298
320,insF1,protein_coding,"ECK0299,tra5-5"
321,ykgA,pseudogene,ECK0300
322,ykgQ,pseudogene,ECK4454
323,rclC,protein_coding,"ECK0301,ykgB"
324,rclB,protein_coding,"ECK0302,ykgI"
325,rclA,protein_coding,"ECK0303,ykgC"
326,rclR,protein_coding,"ECK0304,ykgD"
327,ykgE,protein_coding,ECK0305
328,ykgF,protein_coding,ECK0306
329,ykgG,protein_coding,ECK0307
330,ykgH,protein_coding,ECK0308
331,betA,protein_coding,ECK0309
332,betB,protein_coding,ECK0310
333,betI,protein_coding,ECK0311
334,betT,protein_coding,ECK0312
335,yahV,protein_coding,ECK4587
336,pdeL,protein_coding,"ECK0313,yahA"
337,yahB,protein_coding,ECK0314
338,yahC,protein_coding,ECK0315
339,yahD,protein_coding,ECK0316
340,yahE,protein_coding,ECK0317
341,yahF,protein_coding,ECK0318
342,yahG,protein_coding,ECK0319
343,yahH,protein_coding,ECK0320
344,yahI,protein_coding,ECK0321
345,yahJ,protein_coding,ECK0322
346,yahK,protein_coding,ECK0323
347,yahL,protein_coding,ECK0324
348,yahM,protein_coding,ECK0325
349,yahN,protein_coding,ECK0326
350,yahO,protein_coding,ECK0327
351,prpR,protein_coding,"ECK0328,yahP"
352,prpB,protein_coding,"ECK0329,yahQ"
353,prpC,protein_coding,"ECK0330,yahS,yzzD"
354,prpD,protein_coding,"acnC,ECK0331,yahT"
355,prpE,protein_coding,"ECK0332,yahU"
356,codB,protein_coding,ECK0333
357,codA,protein_coding,ECK0334
358,cynR,protein_coding,ECK0335
359,cynT,protein_coding,ECK0336
360,cynS,protein_coding,"cnt,cyaN,ECK0337"
361,cynX,protein_coding,ECK0338
362,lacA,protein_coding,ECK0339
363,lacY,protein_coding,ECK0340
364,lacZ,protein_coding,ECK0341
365,lacI,protein_coding,ECK0342
366,mhpR,protein_coding,ECK0343
367,mhpA,protein_coding,ECK0344
368,mhpB,protein_coding,ECK0345
369,mhpC,protein_coding,ECK0346
370,mhpD,protein_coding,"ECK0347,mhpS"
371,mhpF,protein_coding,ECK0348
372,mhpE,protein_coding,ECK0349
373,mhpT,protein_coding,"ECK0350,yaiK"
374,yaiL,protein_coding,ECK0351
375,frmB,protein_coding,"ECK0352,yaiM"
376,frmA,protein_coding,"adhC,ECK0353"
377,frmR,protein_coding,"ECK0354,yaiN"
378,yaiO,protein_coding,ECK0355
379,yaiX,pseudogene,"b0359,b0362,ECK0356,ECK0359,yaiF"
380,insC1,protein_coding,"ECK0357,yi21-1"
381,insD1,protein_coding,"ECK0358,yi22-1"
382,yaiP,protein_coding,ECK0360
383,ykiC,protein_coding,ECK4588
384,yaiS,protein_coding,ECK0361
385,tauA,protein_coding,"ECK0362,ssiA,yaiR"
386,tauB,protein_coding,"ECK0363,ssiB,yaiQ"
387,tauC,protein_coding,"ECK0364,ssiC,yaiJ"
388,tauD,protein_coding,"ECK0365,ssiD,yaiG"
389,hemB,protein_coding,"ECK0366,ncf"
390,yaiT,pseudogene,"b0371,b0374,ECK0368,ECK0369,yaiU"
391,ytiB,protein_coding,ECK4624
392,insF2,protein_coding,"ECK0299,tra5-1"
393,insE2,protein_coding,ECK0298
394,iprA,protein_coding,"ECK0370,yaiV"
395,ampH,protein_coding,"ECK0371,yaiH"
396,sbmA,protein_coding,ECK0372
397,yaiW,protein_coding,ECK0373
398,yaiY,protein_coding,ECK0374
399,yaiZ,protein_coding,ECK0375
400,ddlA,protein_coding,ECK0376
401,iraP,protein_coding,"ECK0377,yaiB"
402,phoA,protein_coding,"ECK0378,psiA"
403,psiF,protein_coding,ECK0379
404,dgcC,protein_coding,"adrA,ECK0380,yaiC"
405,proC,protein_coding,"ECK0381,pro(3),Pro2,pro3"
406,yaiI,protein_coding,ECK0382
407,aroL,protein_coding,ECK0383
408,yaiA,protein_coding,ECK0384
409,aroM,protein_coding,ECK0385
410,ppnP,protein_coding,"ECK0386,yaiE"
411,ykiA,pseudogene,ECK0387
412,ykiD,protein_coding,ECK4589
413,rdgC,protein_coding,"ECK0388,yaiD"
414,mak,protein_coding,"ECK0389,yajF"
415,araJ,protein_coding,"araT,ECK0390"
416,sbcC,protein_coding,ECK0391
417,sbcD,protein_coding,"ECK0392,yajA"
418,phoB,protein_coding,"ECK0393,phoRc,phoT"
419,phoR,protein_coding,"ECK0394,nmpB,phoR1,R1pho"
420,brnQ,protein_coding,"ECK0395,hrbA"
421,proY,protein_coding,"ECK0396,yajM"
422,malZ,protein_coding,ECK0397
423,acpH,protein_coding,"ECK0398,yajB"
424,queA,protein_coding,"ECK0399,tsaA"
425,tgt,protein_coding,"ECK0400,vacC(S.f.)"
426,yajC,protein_coding,ECK0401
427,secD,protein_coding,ECK0402
428,secF,protein_coding,ECK0403
429,yajD,protein_coding,ECK0404
430,tsx,protein_coding,"ECK0405,nupA,T6rec"
431,yajI,protein_coding,ECK0406
432,nrdR,protein_coding,"ECK0407,ybaD"
433,ribD,protein_coding,"ECK0408,nusII,ribG,ybaE"
434,ribE,protein_coding,"ECK0409,nusIII,ribH,ybaF"
435,nusB,protein_coding,"ECK0410,groNB,ssaD,ssyB"
436,thiL,protein_coding,"ECK0411,thiJ"
437,pgpA,protein_coding,"ECK0412,yajN"
438,yajO,protein_coding,ECK0413
439,dxs,protein_coding,"ECK0414,yajP"
440,ispA,protein_coding,ECK0415
441,xseB,protein_coding,"ECK0416,yajE"
442,thiI,protein_coding,"ECK0417,nuvA,yajK"
443,yajL,protein_coding,"ECK0418,thiJ"
444,panE,protein_coding,"apbA,ECK0419"
445,yajQ,protein_coding,ECK0420
446,yajR,protein_coding,ECK0421
447,cyoE,protein_coding,ECK0422
448,cyoD,protein_coding,ECK0423
449,cyoC,protein_coding,ECK0424
450,cyoB,protein_coding,ECK0425
451,cyoA,protein_coding,ECK0426
452,ampG,protein_coding,ECK0427
453,yajG,protein_coding,ECK0428
454,bolA,protein_coding,ECK0429
455,tig,protein_coding,ECK0430
456,clpP,protein_coding,"ECK0431,lopP"
457,clpX,protein_coding,"ECK0432,lopC"
458,lon,protein_coding,"capR,deg,dir,ECK0433,lopA,muc"
459,hupB,protein_coding,"dbhB,dpeA,ECK0434,hopD"
460,ppiD,protein_coding,"ECK0435,ybaU"
461,ybaV,protein_coding,"comEA,ECK0436"
462,fadM,protein_coding,"ECK0437,tesC,ybaW"
463,queC,protein_coding,"ECK0438,ybaX"
464,ybaE,protein_coding,ECK0439
465,cof,protein_coding,ECK0440
466,decR,protein_coding,"cyuR,ECK0441,ybaO"
467,mdlA,protein_coding,"ECK0442,mdl"
468,mdlB,protein_coding,"ECK0443,mdl"
469,glnK,protein_coding,"ECK0444,ybaI"
470,amtB,protein_coding,"ECK0445,ybaG"
471,tesB,protein_coding,ECK0446
472,ybaY,protein_coding,ECK0447
473,ybaZ,protein_coding,"atl,ECK0448"
474,ffs,ncRNA,ECK0449
475,ybaA,protein_coding,ECK0450
476,pdeB,protein_coding,"ECK0451,ylaB"
477,ylaC,protein_coding,ECK0452
478,maa,protein_coding,"ECK0453,ylaD"
479,hha,protein_coding,ECK0454
480,tomB,protein_coding,"ECK0455,ybaJ"
481,acrB,protein_coding,"acrE,ECK0456"
482,acrA,protein_coding,"ECK0457,lir,Mb,mbl,mtcA,nbsA,sipB"
483,acrR,protein_coding,"ECK0458,ybaH"
484,mscK,protein_coding,"aefA,ECK0459,kefA"
485,ybaM,protein_coding,ECK0460
486,priC,protein_coding,ECK0461
487,ybaN,protein_coding,ECK0462
488,apt,protein_coding,ECK0463
489,dnaX,protein_coding,"dnaZ,ECK0464"
490,ybaB,protein_coding,ECK0465
491,recR,protein_coding,ECK0466
492,htpG,protein_coding,ECK0467
493,adk,protein_coding,"dnaW,ECK0468,plsA"
494,hemH,protein_coding,"ECK0469,popA,visA"
495,aes,protein_coding,"ECK0470,ybaC"
496,gsk,protein_coding,ECK0471
497,ybaL,protein_coding,"ECK0472,ylaA"
498,fsr,protein_coding,ECK0473
499,ushA,protein_coding,ECK0474
500,ybaK,protein_coding,ECK0475
501,chiX,ncRNA,"ECK4396,micM,rybC,sroB"
502,ybaP,protein_coding,ECK0476
503,ybaQ,protein_coding,ECK0477
504,copA,protein_coding,"ECK0478,ybaR"
505,glsA,protein_coding,"ECK0479,ybaS"
506,ybaT,protein_coding,ECK0480
507,cueR,protein_coding,"copR,ECK0481,ybbI"
508,ybbJ,protein_coding,ECK0482
509,qmcA,protein_coding,"ECK0483,ybbK"
510,fetA,protein_coding,"ECK0484,ybbL"
511,fetB,protein_coding,"ECK0485,ybbM"
512,cnoX,protein_coding,"ECK0486,ybbN"
513,ybbO,protein_coding,ECK0487
514,tesA,protein_coding,"apeA,ECK0488,pldC"
515,ybbA,protein_coding,ECK0489
516,ybbP,protein_coding,ECK0490
517,rhsD,protein_coding,ECK0491
518,ybbC,protein_coding,ECK0492
519,ylbH,pseudogene,"ECK0493,rhsH"
520,ybbD,pseudogene,"b0500,ECK0494"
521,ylbI,pseudogene,ECK4441
522,ylbG,protein_coding,ECK0495
523,selU,protein_coding,"ECK0496,mnmH,ybbB"
524,allS,protein_coding,"ECK0497,glxA1,ybbS"
525,allA,protein_coding,"ECK0498,glxA2,ybbT"
526,allR,protein_coding,"ECK0499,glxA3,ybbU"
527,gcl,protein_coding,ECK0500
528,hyi,protein_coding,"ECK0501,gip,ybbG"
529,glxR,protein_coding,"ECK0502,glxB1,ybbQ"
530,ybbW,protein_coding,"allP,ECK0504,glxB2"
531,allB,protein_coding,"ECK0505,glxB3,ybbX"
532,ybbY,protein_coding,"ECK0506,glxB4"
533,glxK,protein_coding,"ECK0507,glxB5,ybbZ"
534,allE,protein_coding,"ECK0508,glxB6,ughY,ylbA"
535,allC,protein_coding,"ECK0509,glxB7,ylbB"
536,allD,protein_coding,"ECK0510,glxB8,ylbC"
537,fdrA,protein_coding,"ECK0511,ylbD"
538,ylbE,protein_coding,"b0519,b4507,ECK0512,G0-10554"
539,ylbF,protein_coding,ECK0513
540,ybcF,protein_coding,ECK0514
541,purK,protein_coding,"ECK0515,purE2"
542,purE,protein_coding,"ade,ade(f),ade3,ECK0516,Pur2"
543,lpxH,protein_coding,"ECK0517,ybbF"
544,ppiB,protein_coding,ECK0518
545,cysS,protein_coding,"ECK0519,syc"
546,ybcI,protein_coding,ECK0520
547,ybcJ,protein_coding,ECK0521
548,folD,protein_coding,"ads,ECK0522"
549,sfmA,protein_coding,ECK0523
550,sfmC,protein_coding,ECK0524
551,sfmD,protein_coding,ECK0525
552,sfmH,protein_coding,ECK0526
553,sfmF,protein_coding,"ECK0527,ybcG"
554,fimZ,protein_coding,"ECK0528,ybcA"
555,argU,tRNA,"dnaY,ECK0529,pin"
556,intD,protein_coding,"ECK0530,int"
557,xisD,pseudogene,"ECK4435,ybcB"
558,exoD,pseudogene,"ECK0531,ybcC"
559,peaD,pseudogene,"ECK0532,ybcD"
560,renD,pseudogene,"ECK0533,ybcE"
561,insE3,protein_coding,ECK0298
562,insF3,protein_coding,"ECK0299,tra5-2"
563,emrE,protein_coding,"eb,ECK0534,mvrC"
564,ylcJ,protein_coding,ECK4590
565,ybcK,protein_coding,ECK0535
566,ybcL,protein_coding,ECK0536
567,ybcM,protein_coding,ECK0537
568,ylcH,protein_coding,ECK4398
569,ybcN,protein_coding,ECK0538
570,ninE,protein_coding,ECK0539
571,ybcO,protein_coding,ECK0540
572,rusA,protein_coding,"ECK0541,rus,ybcP"
573,ylcG,protein_coding,ECK0542
574,quuD,protein_coding,"ECK0543,ybcQ"
575,nmpC,pseudogene,"ECK0544,phmA"
576,insH2,protein_coding,"ECK0261,trs5-2,yi52_2"
577,essD,protein_coding,"ECK0545,vlyS,ybcR"
578,rrrD,protein_coding,"ECK0546,lycV,ybcS"
579,rzpD,protein_coding,"ECK0547,ybcT"
580,rzoD,protein_coding,ECK0548
581,borD,protein_coding,"bor,ECK0549,iss,vboR,ybcU"
582,ybcV,protein_coding,ECK0550
583,ybcW,protein_coding,ECK0551
584,ylcI,protein_coding,ECK4399
585,nohD,protein_coding,"ECK0552,nohB"
586,aaaD,pseudogene,"ECK4439,ylcF"
587,tfaD,protein_coding,"ECK0553,ybcX"
588,ybcY,pseudogene,ECK0554
589,tfaX,protein_coding,"ECK0555,ylcE"
590,appY,protein_coding,ECK0556
591,ompT,protein_coding,ECK0557
592,envY,protein_coding,ECK0558
593,ybcH,protein_coding,ECK0559
594,nfrA,protein_coding,ECK0560
595,nfrB,protein_coding,ECK0561
596,cusS,protein_coding,"ECK0562,ybcZ"
597,cusR,protein_coding,"ECK0563,ylcA"
598,cusC,protein_coding,"ECK0564,ibeB,ylcB"
599,cusF,protein_coding,"cusX,ECK0565,ylcC"
600,cusB,protein_coding,"ECK0566,ylcD"
601,cusA,protein_coding,"ECK0567,ybdE"
602,pheP,protein_coding,ECK0568
603,ybdG,protein_coding,ECK0569
604,nfsB,protein_coding,"dprA,ECK0570,nfnB,ntr"
605,ybdF,protein_coding,ECK0571
606,ybdJ,protein_coding,ECK0572
607,ybdK,protein_coding,ECK0573
608,sokE,ncRNA,ECK4512
609,hokE,protein_coding,"ECK0574,ybdY"
610,insL2,protein_coding,"ECK0016,yi81-2"
611,entD,protein_coding,ECK0575
612,fepA,protein_coding,"cbr,cbt,ECK0576,fep,feuB"
613,fes,protein_coding,ECK0577
614,ybdZ,protein_coding,ECK0578
615,entF,protein_coding,ECK0579
616,fepE,protein_coding,ECK0580
617,fepC,protein_coding,ECK0581
618,fepG,protein_coding,ECK0582
619,fepD,protein_coding,ECK0583
620,entS,protein_coding,"ECK0584,ybdA"
621,fepB,protein_coding,ECK0585
622,entC,protein_coding,"ECK0586,fepF"
623,entE,protein_coding,ECK0587
624,entB,protein_coding,"ECK0588,entG"
625,entA,protein_coding,ECK0589
626,entH,protein_coding,"ECK0590,ybdB"
627,cstA,protein_coding,"ECK0591,ybdC"
628,ybdD,protein_coding,ECK0592
629,hcxA,protein_coding,"ECK0593,ybdH"
630,ybdL,protein_coding,ECK0594
631,ybdM,protein_coding,ECK0595
632,ybdN,protein_coding,ECK0596
633,ybdO,protein_coding,ECK0597
634,dsbG,protein_coding,"ECK0598,ybdP"
635,ahpC,protein_coding,"ECK0599,ssi8,tpx"
636,ahpF,protein_coding,ECK0600
637,uspG,protein_coding,"ECK0601,UP12,ybdQ,yzzU"
638,ybdR,protein_coding,ECK0602
639,yldA,protein_coding,ECK4591
640,rnk,protein_coding,ECK0603
641,rna,protein_coding,"ECK0604,rnsA"
642,citT,protein_coding,"ECK0605,ybdS"
643,citG,protein_coding,"ECK0606,ybdT"
644,citX,protein_coding,"ECK0607,ybdU"
645,citF,protein_coding,"ECK0608,ybdV"
646,citE,protein_coding,"ECK0609,ybdW"
647,citD,protein_coding,"ECK0610,ybdX"
648,citC,protein_coding,"ECK0611,ybeO"
649,dpiB,protein_coding,"citA,ECK0612,mpdB,ybeP"
650,dpiA,protein_coding,"citB,criR,ECK0613,mpdA"
651,dcuC,protein_coding,ECK0614
652,pagP,protein_coding,"crcA,ECK0615,ybeG"
653,cspE,protein_coding,"ECK0616,gicA,msmC"
654,crcB,protein_coding,"ECK0617,ybeI"
655,ybeM,pseudogene,"b0625,b0626,ECK0618,ECK0619,ybeH"
656,tatE,protein_coding,"ECK0620,ybeC"
657,lipA,protein_coding,"ECK0621,lip"
658,ybeF,protein_coding,ECK0622
659,lipB,protein_coding,"cde,ECK0623,lip"
660,ybeD,protein_coding,ECK0624
661,dacA,protein_coding,"ECK0625,pfv"
662,rlpA,protein_coding,ECK0626
663,mrdB,protein_coding,"ECK0627,rodA"
664,mrdA,protein_coding,"ECK0628,pbpA"
665,rlmH,protein_coding,"ECK0629,ybeA"
666,rsfS,protein_coding,"ECK0630,rsfA,ybeB"
667,cobC,protein_coding,"ECK0631,phpB"
668,nadD,protein_coding,"ECK0632,fusB,ybeN"
669,holA,protein_coding,ECK0633
670,lptE,protein_coding,"ECK0634,rlpB"
671,leuS,protein_coding,"ECK0635,syl"
672,ybeL,protein_coding,ECK0636
673,ybeQ,protein_coding,ECK0637
674,ybeR,protein_coding,ECK0638
675,djlB,protein_coding,"ECK0639,ybeS"
676,ybeT,protein_coding,ECK0640
677,ybeU,protein_coding,ECK0641
678,djlC,protein_coding,"ECK0642,hsc56,hscD,ybeV"
679,hscC,protein_coding,"ECK0643,ybeW"
680,rihA,protein_coding,"ECK0644,ybeK"
681,gltL,protein_coding,ECK0645
682,gltK,protein_coding,ECK0646
683,gltJ,protein_coding,ECK0647
684,sroC,ncRNA,"ECK4620,HB_314"
685,gltI,protein_coding,"ECK0648,ybeJ,yzzK"
686,insH3,protein_coding,"ECK0261,trs5-3,yi52_3"
687,lnt,protein_coding,"cutE,ECK0649"
688,ybeX,protein_coding,ECK0650
689,ybeY,protein_coding,ECK0651
690,ybeZ,protein_coding,"ECK0652,phoL"
691,miaB,protein_coding,"ECK0653,yleA"
692,ubiF,protein_coding,"ECK0654,yleB"
693,glnX,tRNA,"ECK0655,glnV-beta,glnVbeta,supE"
694,glnV,tRNA,"ECK0656,glnValpha,Su2,suII,supE"
695,metU,tRNA,"ECK0657,metT-beta,metTbeta"
696,glnW,tRNA,"ECK0658,glnU-beta,glnUbeta"
697,glnU,tRNA,"ECK0659,glnUalpha,supB,trnA"
698,leuW,tRNA,"ECK0660,feeB"
699,metT,tRNA,"ECK0661,metTalpha"
700,asnB,protein_coding,ECK0662
701,umpH,protein_coding,"ECK0663,nagD"
702,nagC,protein_coding,"ECK0664,nagR"
703,nagA,protein_coding,ECK0665
704,nagB,protein_coding,"ECK0666,glmD"
705,nagE,protein_coding,"ECK0667,pstN,ptsN"
706,glnS,protein_coding,ECK0668
707,chiP,protein_coding,"ECK0669,ybfM"
708,chiQ,protein_coding,"ECK0670,ybfN"
709,fur,protein_coding,ECK0671
710,uof,protein_coding,ECK4461
711,fldA,protein_coding,ECK0672
712,ybfE,protein_coding,ECK0673
713,ybfF,protein_coding,ECK0674
714,seqA,protein_coding,"ECK0675,hsm-1"
715,pgm,protein_coding,"blu,ECK0676"
716,ybfP,protein_coding,ECK0677
717,ybfG,pseudogene,"b0690,ECK0678,ECK0679,ybfH"
718,ybfI,pseudogene,ECK4436
719,potE,protein_coding,ECK0680
720,speF,protein_coding,ECK0681
721,speFL,protein_coding,ECK4660
722,kdpE,protein_coding,ECK0682
723,kdpD,protein_coding,"ECK0683,kac"
724,kdpC,protein_coding,"ECK0684,kac"
725,kdpB,protein_coding,"ECK0685,kac"
726,kdpA,protein_coding,"ECK0686,kac"
727,kdpF,protein_coding,ECK0687
728,ybfA,protein_coding,ECK0688
729,rhsC,protein_coding,ECK0689
730,ybfB,protein_coding,ECK0690
731,ybfO,pseudogene,ECK0691
732,ybfC,protein_coding,ECK0692
733,ybfQ,protein_coding,ECK0693
734,ybfL,pseudogene,ECK0694
735,ybfD,protein_coding,ECK0695
736,ybgA,protein_coding,"ECK0696,tkp"
737,phr,protein_coding,"ECK0697,phrB"
738,dtpD,protein_coding,"ECK0698,ybgH"
739,ybgI,protein_coding,ECK0699
740,pxpB,protein_coding,"ECK0700,ybgJ"
741,pxpC,protein_coding,"ECK0701,ybgK"
742,pxpA,protein_coding,"ECK0702,ybgL"
743,nei,protein_coding,ECK0703
744,abrB,protein_coding,"ECK0704,ybgN"
745,ybgO,protein_coding,ECK0705
746,ybgP,protein_coding,ECK0706
747,ybgQ,protein_coding,ECK0707
748,ybgD,protein_coding,ECK0708
749,gltA,protein_coding,"ECK0709,gluT,icdB"
750,ybgV,protein_coding,ECK4625
751,ybgU,protein_coding,ECK4592
752,sdhC,protein_coding,"cybA,cybL,dhsC,ECK0710"
753,sdhD,protein_coding,"cybS,dhsD,ECK0711"
754,sdhA,protein_coding,"dhsA,ECK0712"
755,sdhB,protein_coding,"dhsB,ECK0713"
756,sucA,protein_coding,"ECK0714,lys+met"
757,sucB,protein_coding,ECK0715
758,sucC,protein_coding,ECK0716
759,sucD,protein_coding,ECK0717
760,sdhX,ncRNA,"ECK4621,rybD"
761,mngR,protein_coding,"ECK0718,farR,ybgB"
762,mngA,protein_coding,"ECK0719,frx,hrsA"
763,mngB,protein_coding,"ECK0720,ybgG"
764,cydA,protein_coding,"cyd-1,ECK0721"
765,cydB,protein_coding,"cyd-2,ECK0722"
766,cydX,protein_coding,"ECK0723,ybgT"
767,ybgE,protein_coding,ECK0724
768,ybgC,protein_coding,ECK0725
769,tolQ,protein_coding,"ECK0726,fii,tolP"
770,tolR,protein_coding,ECK0727
771,tolA,protein_coding,"cim,ECK0728,excC,lky,tol-2"
772,tolB,protein_coding,"ECK0729,lky,lkyA,tol-3"
773,pal,protein_coding,"ECK0730,excC"
774,cpoB,protein_coding,"ECK0731,ybgF"
775,lysT,tRNA,"ECK0732,lysTalpha,sua,supG,supL,Su[beta]"
776,valT,tRNA,"ECK0733,valTa,valTalpha"
777,lysW,tRNA,"ECK0734,lysT-beta,lysTbeta,su"
778,valZ,tRNA,"ECK0735,valTb,valTbeta"
779,lysY,tRNA,"ECK0736,lysTg,lysTgamma"
780,lysZ,tRNA,ECK0737
781,lysQ,tRNA,ECK0738
782,nadA,protein_coding,"ECK0739,nicA"
783,pnuC,protein_coding,ECK0740
784,zitB,protein_coding,"ECK0741,ybgR"
785,ybgS,protein_coding,ECK0742
786,aroG,protein_coding,ECK0743
787,gpmA,protein_coding,"ECK0744,gpm"
788,galM,protein_coding,ECK0745
789,galK,protein_coding,"ECK0746,galA"
790,galT,protein_coding,"ECK0747,galB"
791,galE,protein_coding,"ECK0748,galD"
792,modF,protein_coding,"chlD,ECK0749,phrA"
793,modE,protein_coding,"chlD,ECK0750,modR"
